host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Menlo Park,t,Menlo Park,Menlo Park,94301,Entire guesthouse,Entire home/apt,1,1,1,1,1,1,1,1,19,5,5,5,4.95,4.95,5,4.89
Menlo Park,t,Menlo Park,San Francisco,94025,Entire rental unit,Entire home/apt,2,1,1,1,2,2,2,59,10,4.5,4.8,4.2,4.9,4.9,4.8,4.1
Menlo Park,t,Menlo Park,Menlo Park,94025,Private room in condo,Private room,1,1,2,1,11,11,11,11,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,0,0,0,58,76,4.79,4.81,4.88,4.86,4.83,4.89,4.78
Santa Clara,f,Santa Clara,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,1,0,0,15,105,16,4.56,4.88,4.81,4.94,4.88,4.81,4.69
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,0,0,10,283,264,4.87,4.82,4.79,4.85,4.9,4.96,4.74
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,2,1,1,1,0,0,0,261,140,4.91,4.95,4.95,4.91,4.95,4.95,4.83
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,2,1,1,4,18,28,28,237,149,4.89,4.89,4.83,4.85,4.91,4.96,4.78
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,0,0,2,277,208,4.86,4.87,4.91,4.91,4.92,4.95,4.77
Cupertino,t,Cupertino,Cupertino,95129,Entire guesthouse,Entire home/apt,4,1,1,1,2,32,62,337,183,4.93,4.92,4.98,4.96,4.95,4.89,4.89
Sunnyvale,f,Sunnyvale,Sunnyvale,94086,Private room in home,Private room,2,1,1,2,5,35,65,65,121,4.97,4.9,4.89,4.99,4.96,4.85,4.78
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,29,59,89,364,185,4.79,4.78,4.54,4.89,4.94,4.61,4.78
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in villa,Private room,2,1,1,2,0,0,0,0,15,4.87,5,4.8,4.87,4.87,4.93,4.93
Campbell,t,United States,United States,95008,Private room in home,Private room,1,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,1,1,1,1,17,43,73,348,60,4.92,4.98,4.97,4.98,4.95,5,4.9
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,12,42,72,347,146,4.76,4.78,4.8,4.85,4.87,4.71,4.69
West Valley,t,San Jose,San Jose,95128,Entire loft,Entire home/apt,4,1,1,1,16,46,76,351,136,4.93,4.95,4.92,4.98,4.97,5,4.86
Mountain View,t,Mountain View,Mountain View,94040,Entire home,Entire home/apt,4,1,2,3,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Edenvale,t,San Jose,San Jose,95111,Entire home,Entire home/apt,16,1,5,6,30,60,90,365,15,4.15,4.33,4.5,4.58,4.42,4.75,4.5
Palo Alto,t,Palo Alto,Palo Alto,94036,Entire place,Entire home/apt,2,1,1,1,8,19,36,307,138,4.9,4.92,4.81,4.99,4.96,4.8,4.8
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in bungalow,Private room,2,1,1,2,0,0,0,0,59,4.91,4.89,4.84,5,4.96,4.86,4.88
Saratoga,t,Saratoga,Saratoga,95070,Entire home,Entire home/apt,6,1,3,4,28,58,88,177,11,5,4.64,4,5,5,4.91,4.73
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,0,17,47,322,32,4.77,4.61,4.35,4.97,4.9,4.81,4.81
Saratoga,f,Saratoga,Saratoga,95070,Private room in villa,Private room,2,1,1,1,0,0,1,275,64,4.94,4.95,4.91,5,4.97,4.95,4.92
