host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Menlo Park,t,Menlo Park,Menlo Park,94301,Entire guesthouse,Entire home/apt,1,1,1,1,Real Bed,718.1781305,100,50,1,20,1,1,1,1,19,100,10,10,9.9,9.9,10,9.78,moderate
Menlo Park,t,Menlo Park,San Francisco,94025,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,2,2,2,59,10,90,9.6,8.4,9.8,9.8,9.6,8.2,flexible
Menlo Park,t,Menlo Park,Menlo Park,94025,Private room in condo,Private room,1,1,2,1,Real Bed,718.1781305,800,100,4,25,11,11,11,11,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,Real Bed,718.1781305,100,75,1,0,0,0,0,58,76,95.8,9.62,9.76,9.72,9.66,9.78,9.56,strict
Santa Clara,f,Santa Clara,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,17,2,15,0,0,15,105,16,91.2,9.76,9.62,9.88,9.76,9.62,9.38,moderate
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,Real Bed,718.1781305,500,35,1,0,0,0,10,283,264,97.4,9.64,9.58,9.7,9.8,9.92,9.48,moderate
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,30,2,10,0,0,0,261,140,98.2,9.9,9.9,9.82,9.9,9.9,9.66,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,2,1,1,4,Real Bed,718.1781305,100,20,1,9,18,28,28,237,149,97.8,9.78,9.66,9.7,9.82,9.92,9.56,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room,Private room,1,1,1,1,Real Bed,718.1781305,100,40,3,10,0,0,2,277,208,97.2,9.74,9.82,9.82,9.84,9.9,9.54,moderate
Cupertino,t,Cupertino,Cupertino,95129,Entire guesthouse,Entire home/apt,4,1,1,1,Real Bed,718.1781305,150,50,4,25,2,32,62,337,183,98.6,9.84,9.96,9.92,9.9,9.78,9.78,strict
